Labore mit Rückstau;KW;Probenrückstau;
25;15;3423;
34;16;2258;
29;17;2393;
30;18;3790;
29;19;3224;
27;20;1379;
28;21;1539;
24;22;1295;
28;23;2478;
51;24;1642;
46;25;553;
71;26;3106;
46;27;960;
25;28;3242;
42;29;1483;
22;30;2256;
24;31;1274;
36;32;13115.001;
44;33;17143;
49;34;27929;
49;35;36812;
48;36;30057;
51;37;32397.00001;
43;38;12876;
46;39;15983;
42;40;8245.0001;
47;41;16840;
52;42;20799;
57;43;68574;
69;44;98931;
66;45;60113;
58;46;23654;
48;47;17037;
53;48;14091;
50;49;12237;
50;50;19009;
57;51;21364.1;
43;52;11321;
40;53;6557;
